filename,folder,original_width,original_height,resized_width,resized_height,mean_R,mean_G,mean_B,std_R,std_G,std_B
17b23690682fe659.jpg,train,685,800,224,224,80.91,77.3,79.01,54.66,54.35,54.18
1254d5c8dd065831.jpg,train,1600,1200,224,224,107.53,117.9,113.56,58.66,60.66,64.12
145af44f9374d5b1.jpg,train,1600,1066,224,224,145.43,139.28,135.23,79.68,81.71,81.93
15ac848d6b4b612b.jpg,train,1600,1066,224,224,72.21,77.33,56.7,51.87,51.2,46.27
18276145b3f7b6ea.jpg,train,1158,1600,224,224,156.46,163.56,164.32,84.33,80.01,78.08
09c7f7d51ab3ec41.jpg,train,640,481,224,224,105.86,132.63,133.84,54.28,51.71,37.82
14fbaabdc8c65364.jpg,train,1600,899,224,224,141.45,142.45,141.92,43.47,46.38,52.42
15c9e70c44c8f437.jpg,train,800,600,224,224,117.38,108.69,96.95,54.11,48.96,41.01
135676977bace95d.jpg,train,1599,948,224,224,209.28,214.92,209.07,61.26,52.01,60.15
15965f44cfdbcad2.jpg,train,1600,1200,224,224,90.27,79.62,67.62,76.85,73.52,71.43
139a7f1ffb5a3be9.jpg,train,1600,1200,224,224,126.0,123.78,122.76,45.66,46.15,48.32
1225ad8da0d1652f.jpg,train,1600,1195,224,224,168.73,69.61,56.0,67.0,75.48,69.89
13bc9bf99c5e25dc.jpg,train,1280,1024,224,224,34.91,30.77,24.92,25.7,26.59,27.18
14b423be7d320a20.jpg,train,540,438,224,224,199.85,222.63,212.25,46.51,30.75,40.26
14376b594386ca6c.jpg,train,1600,1058,224,224,130.43,124.36,126.57,79.68,84.82,85.22
153e5507e69fb30e.jpg,train,1600,1200,224,224,126.82,121.76,118.7,43.36,43.21,43.09
076b6be0a7936db6.jpg,train,1570,724,224,224,166.34,135.16,142.44,51.22,41.0,45.25
16a02f152f76967b.jpg,train,1600,1200,224,224,99.18,85.8,33.03,78.67,63.52,39.02
127e5822165228c0.jpg,train,950,580,224,224,235.7,239.57,243.94,29.51,27.4,21.67
1192f9761a36c9a5.jpg,train,1133,1600,224,224,215.75,216.55,212.86,59.72,57.07,55.75
1344b8ae5d3c32cd.jpg,train,633,774,224,224,229.16,230.25,227.21,52.25,46.17,55.14
11fda98845d1ded1.jpg,train,1449,1600,224,224,135.59,130.9,124.18,80.07,81.14,82.52
16315a547b5ae289.jpg,train,958,1600,224,224,232.46,232.46,232.46,36.73,36.73,36.73
17cfc9a92944d1cd.jpg,train,694,720,224,224,23.11,21.73,21.64,25.28,21.09,21.11
16d4e084ca8e51c6.jpg,train,1200,1600,224,224,144.17,129.99,115.56,71.68,75.98,82.02
0e65a03f481b0bb3.jpg,train,1600,1062,224,224,91.5,86.12,85.69,60.25,66.12,66.58
1289f9a66cdc13b7.jpg,train,1163,1039,224,224,171.37,174.15,174.12,54.37,54.4,54.77
124ae81ae518fc28.jpg,train,1600,1200,224,224,130.02,113.88,110.62,56.14,59.76,64.55
1662b189fe710ec5.jpg,train,1308,988,224,224,145.49,155.13,154.27,60.17,61.85,57.26
16303a37d17ed3cb.jpg,train,482,344,224,224,182.43,208.82,227.25,77.34,50.04,31.55
14b8ebc47118428b.jpg,train,1600,1064,224,224,89.11,127.27,144.97,83.74,74.15,76.31
1841542b060cf662.jpg,train,1600,1067,224,224,148.87,136.64,129.85,75.2,62.71,55.62
115d31d8c9b17683.jpg,train,640,640,224,224,53.62,61.6,91.77,66.12,68.81,68.24
107692381f1ea1d1.jpg,train,1600,1066,224,224,122.67,118.56,118.94,51.29,51.06,49.31
1627cd3bb2adcef0.jpg,train,1600,1200,224,224,131.96,127.97,128.21,53.81,54.58,54.82
0f8a4d564b264981.jpg,train,528,396,224,224,128.59,134.23,144.01,69.91,67.03,62.88
06ad6e5e9f33a803.jpg,train,1600,1195,224,224,171.09,120.98,119.51,42.05,58.13,46.07
14e1d87234442968.jpg,train,1600,1200,224,224,82.03,109.84,135.89,48.48,56.84,69.53
14edff82a92cfa20.jpg,train,640,480,224,224,182.01,145.73,127.5,55.16,62.52,58.05
122a57ede6df0519.jpg,train,1600,1600,224,224,139.53,128.06,118.07,65.47,63.69,62.57
05d25896dd1d031b.jpg,train,1600,1066,224,224,84.48,60.52,50.91,44.71,43.38,40.29
153448e6b2a6a1ee.jpg,train,1600,1065,224,224,138.86,129.44,113.65,61.75,67.99,73.88
10403af524ff59e0.jpg,train,650,956,224,224,159.02,149.23,129.74,85.22,86.84,81.29
1133d32a7226ac7f.jpg,train,1600,1062,224,224,129.58,129.7,131.54,64.18,60.43,65.9
1944f707058b764e.jpg,train,1600,1129,224,224,138.55,135.63,142.29,83.62,86.46,93.41
15f0b41217fd03fc.jpg,train,1000,665,224,224,150.99,125.54,102.71,64.23,60.78,62.4
131b2bdc36eded0f.jpg,train,1200,1600,224,224,104.31,96.69,93.9,49.32,49.35,50.57
1857660c8949677c.jpg,train,1600,1060,224,224,48.78,51.99,36.64,43.2,42.84,37.24
1535e6f937f0e8db.jpg,train,1200,1600,224,224,82.84,79.34,75.76,50.08,46.9,49.99
171e282394f57b0f.jpg,train,1600,1200,224,224,111.32,73.12,46.6,86.96,57.9,48.36
1631cc932787a457.jpg,train,1600,1097,224,224,100.25,86.92,88.92,56.9,54.28,58.35
168e560f35946709.jpg,train,600,600,224,224,204.75,209.94,212.69,70.6,64.36,61.16
1040608ac8d5422c.jpg,train,1100,850,224,224,199.84,215.55,179.15,34.36,36.3,45.8
1749b5beb28c540e.jpg,train,1024,768,224,224,126.87,104.96,87.48,66.42,64.37,67.34
13cfb39634bbb105.jpg,train,1600,1066,224,224,46.91,58.31,62.8,67.8,75.18,79.66
0f39e9940e1fe515.jpg,train,1067,1600,224,224,110.63,104.98,99.09,64.55,63.73,66.17
174f9b7e437c8c10.jpg,train,1577,1600,224,224,116.83,95.38,83.17,79.28,63.61,55.52
1604f273fe1966d7.jpg,train,612,612,224,224,151.79,132.5,90.65,86.89,81.62,47.15
121c3a1db94dd298.jpg,train,1600,1200,224,224,156.67,156.22,150.97,54.25,56.28,55.92
16a68fdb76c3a648.jpg,train,1200,1600,224,224,141.69,136.16,128.29,53.28,50.21,50.38
1386fd31d2d00f0b.jpg,train,1600,1066,224,224,117.43,95.78,75.98,94.8,81.3,70.59
145c3382b401fd17.jpg,train,1600,1200,224,224,116.55,85.81,68.42,62.6,55.32,47.44
11f7a4dd505504a8.jpg,train,1600,1357,224,224,84.24,84.24,84.24,73.82,73.82,73.82
150114a77be71505.jpg,train,1200,1600,224,224,103.35,106.54,100.71,56.22,54.85,61.79
1598510c8d02096e.jpg,train,1600,1200,224,224,118.34,100.51,91.5,72.05,73.48,74.56
12229ead6c2fb5c6.jpg,train,1600,1066,224,224,116.66,142.5,142.77,82.84,85.67,83.79
1413e432c3495c96.jpg,train,1200,1600,224,224,122.69,117.68,120.61,35.35,37.08,38.74
074d108037b8989f.jpg,train,1600,1200,224,224,137.7,130.79,131.08,22.29,23.22,23.54
10c785353a78c36f.jpg,train,1600,1068,224,224,82.11,68.81,81.86,54.67,45.53,37.4
13bb6c6849df579f.jpg,train,802,1255,224,224,205.77,190.78,212.51,28.35,27.96,36.43
138f05a169b13d96.jpg,train,1600,1065,224,224,112.89,107.99,106.26,34.89,39.65,42.19
17da02f488a79602.jpg,train,960,639,224,224,123.79,97.85,75.2,67.84,72.13,49.14
148c13685b6f06fe.jpg,train,1024,768,224,224,117.61,113.22,114.35,91.89,95.02,94.89
162d01c1331b54e6.jpg,train,1200,1600,224,224,86.15,90.31,86.62,82.92,79.85,81.29
16f65ad27e363fa9.jpg,train,1600,1195,224,224,108.3,86.2,76.39,79.23,85.46,85.19
11a28ac0cf528623.jpg,train,1024,1544,224,224,117.87,126.23,131.03,86.04,87.92,93.58
12ec2b0f95352eec.jpg,train,1600,1195,224,224,140.38,112.6,112.37,65.84,82.91,76.43
13be0d00e90ec5f2.jpg,train,1599,1068,224,224,94.01,88.49,82.73,46.19,46.16,45.2
183e9ee0565f4200.jpg,train,800,531,224,224,125.35,104.67,72.99,28.89,30.02,28.07
10ffba944fe88b73.jpg,train,1600,1600,224,224,145.29,137.89,136.06,53.87,56.02,58.76
14ff95752b6f8207.jpg,train,1068,1600,224,224,174.41,174.19,174.79,65.24,65.46,64.64
1239c907f9ab4a01.jpg,train,396,386,224,224,241.76,241.76,241.76,34.16,34.16,34.16
18819f6245bb4c7e.jpg,train,1600,1200,224,224,79.41,69.12,61.01,62.07,57.37,54.47
1353a9690b088633.jpg,train,1600,1053,224,224,106.77,106.23,107.81,83.17,76.18,75.55
102305364329f6c9.jpg,train,1600,1066,224,224,59.33,57.23,52.24,49.69,48.88,50.29
160cdb2e7d529347.jpg,train,291,610,224,224,212.56,212.05,191.89,65.49,66.01,87.09
12f001fe1f26b2eb.jpg,train,1200,1600,224,224,138.46,130.56,123.66,46.12,43.84,42.41
10f2b1b1d4c490c8.jpg,train,1177,1600,224,224,76.35,50.88,38.8,66.51,54.38,45.89
122b2fc2be6c3e44.jpg,train,600,783,224,224,171.55,187.65,184.35,83.12,52.05,48.88
12d2eb406a7362c7.jpg,train,800,536,224,224,166.31,118.68,87.54,54.96,46.29,51.46
0d05e94f23be35dd.jpg,train,1600,1200,224,224,126.77,115.71,114.16,71.58,70.7,72.09
0c92a75691b8163f.jpg,train,1400,900,224,224,170.7,140.71,127.71,51.57,70.21,70.61
1537521c2051cdf8.jpg,train,1138,1600,224,224,244.46,243.17,243.23,27.62,30.4,30.13
16c241537540c597.jpg,train,1600,1071,224,224,121.84,84.19,70.87,76.04,47.17,49.67
111dc844914ec141.jpg,train,240,475,224,224,187.43,190.59,196.14,63.55,63.24,61.88
140f2e02007cf824.jpg,train,1200,1600,224,224,164.16,116.06,133.08,54.19,61.39,55.95
11b00c0d300416f1.jpg,train,1066,1600,224,224,134.04,144.79,160.33,69.0,74.99,80.01
12f39995dc1bc805.jpg,train,1500,1000,224,224,130.06,124.61,116.53,51.58,52.6,54.61
13db3a9fbb9f00d9.jpg,train,1200,800,224,224,89.05,81.66,69.4,50.43,51.44,55.88
16f3584a967896e2.jpg,train,1600,1200,224,224,123.42,107.4,96.53,67.97,56.44,51.18
15d6774ea74109c5.jpg,train,1600,1200,224,224,245.49,243.18,243.51,31.01,38.52,36.06
11225cd66144275c.jpg,train,1084,1600,224,224,174.4,174.4,174.4,83.71,83.71,83.71
179c895212823729.jpg,train,1600,1066,224,224,152.79,152.79,152.79,87.79,87.79,87.79
1714af3b2a2ffefa.jpg,train,1600,1066,224,224,183.76,170.02,160.57,53.51,59.31,66.44
179610f717e4c8f9.jpg,train,1600,1066,224,224,172.74,166.36,176.63,63.0,68.1,78.62
14d7219c270c8a12.jpg,train,1066,1600,224,224,154.97,145.83,141.81,67.72,73.58,74.24
17efc8417a4c96f4.jpg,train,968,1296,224,224,203.1,181.23,128.1,66.39,70.69,56.68
14dd14b2f0cd0794.jpg,train,697,1600,224,224,205.31,177.09,161.53,68.34,86.98,93.6
14a6264e7dccfc63.jpg,train,800,599,224,224,118.49,93.89,77.23,69.04,68.37,71.17
1855d59a673795a6.jpg,train,1600,1115,224,224,144.35,145.95,141.11,61.95,61.3,64.36
12a60c4867f29bda.jpg,train,1090,1600,224,224,144.71,131.49,104.63,30.77,28.7,25.25
17d9a548b68c23fa.jpg,train,1600,1200,224,224,107.06,107.23,116.59,89.23,94.51,103.83
17bb614fc0d480eb.jpg,train,1600,1200,224,224,130.28,112.24,101.62,77.35,67.72,66.86
10a77b626ff0edad.jpg,train,1600,1071,224,224,132.36,108.26,74.34,45.69,45.61,44.65
10c2af820dcdb460.jpg,train,1600,1200,224,224,115.49,114.6,106.23,62.95,62.09,63.19
14000385d12a8b77.jpg,train,1181,786,224,224,80.78,68.44,69.09,71.55,65.35,73.8
15b4fcfa9fcb8e1c.jpg,train,1600,1066,224,224,119.46,121.41,116.26,72.49,62.69,66.01
15793713fa23aaff.jpg,train,1600,1200,224,224,161.45,129.15,121.99,61.17,60.25,62.16
172fb50a1947a1e4.jpg,train,1600,1066,224,224,116.31,104.6,108.66,82.03,83.38,84.36
13125964c1e73fe0.jpg,train,1600,1200,224,224,95.96,93.9,87.74,53.12,55.48,55.96
17716f172cdc30be.jpg,train,1280,800,224,224,166.48,153.88,140.43,86.82,99.58,100.8
1211e1393da2fc25.jpg,train,1600,1042,224,224,108.5,111.46,99.79,47.97,50.53,63.38
1110cf88703f70d6.jpg,train,1066,1600,224,224,83.95,123.39,170.17,52.25,54.3,69.65
107de624ce630304.jpg,train,1600,1071,224,224,163.14,128.1,89.59,70.81,71.84,67.57
1158bbac67abf0f2.jpg,train,580,1002,224,224,107.54,169.86,166.31,59.46,52.46,59.76
15832877a89ee8f4.jpg,train,1600,1063,224,224,118.47,102.4,94.52,83.16,85.72,86.21
176083328d2ff96b.jpg,train,1200,801,224,224,124.44,113.59,108.28,89.0,84.26,84.41
13bc5df4fa9a3ae5.jpg,train,1265,1600,224,224,231.23,214.02,175.75,37.25,47.37,70.76
166689c72d7e3515.jpg,train,1600,1200,224,224,114.43,108.68,101.99,52.7,54.07,57.66
156e7c0d93c0ac9d.jpg,train,1600,1200,224,224,73.38,64.88,58.12,59.82,51.7,43.17
13ba9a237ba37e0e.jpg,train,1600,1326,224,224,198.52,175.13,140.89,38.87,37.37,35.76
135561b19d056474.jpg,train,433,613,224,224,232.24,221.51,221.3,41.28,61.87,61.72
10d881ea86b3d3d1.jpg,train,1600,1059,224,224,90.68,89.95,92.46,62.48,62.36,62.44
161706cef961b91b.jpg,train,1600,877,224,224,235.12,223.03,224.9,27.37,52.98,50.63
124935f658706e05.jpg,train,1600,1066,224,224,87.38,99.59,88.45,49.81,50.03,45.08
11e06ef29c2a3ffb.jpg,train,1600,1200,224,224,88.2,90.45,107.1,61.22,61.68,67.66
142c7356ac31056b.jpg,train,1600,1195,224,224,161.35,93.3,86.2,57.45,66.51,62.66
13c6e6be4649d922.jpg,train,1200,1600,224,224,113.7,99.61,115.96,85.38,74.61,71.43
1577bf46afcc39ee.jpg,train,1514,1600,224,224,92.55,94.25,94.64,62.06,54.23,53.94
153eb29c3bf90794.jpg,train,1600,1200,224,224,63.72,56.94,47.91,55.49,57.65,56.39
127b042513ec0f6a.jpg,train,1195,1600,224,224,168.75,102.01,106.48,74.86,83.74,74.76
1729975e1df86c2b.jpg,train,1280,960,224,224,128.62,126.16,120.12,75.06,75.14,71.0
15867685d9c5fdc8.jpg,train,1600,1146,224,224,186.51,163.52,165.36,48.8,59.88,59.31
192cd1fb98a5270e.jpg,train,1600,930,224,224,110.24,93.19,100.92,68.44,76.26,81.66
17163aa8c7e19b4a.jpg,train,600,612,224,224,177.17,192.03,200.07,92.8,72.52,63.54
17105e266cd9976a.jpg,train,800,599,224,224,91.8,72.3,64.58,76.92,70.98,68.59
11c34d9230059d51.jpg,train,561,640,224,224,234.17,233.78,239.06,40.72,42.03,30.25
16403d44378e3d27.jpg,train,612,612,224,224,150.17,140.8,121.74,72.11,66.74,68.58
1585892dcd3492f8.jpg,train,1600,1068,224,224,182.3,136.46,98.7,65.2,63.91,82.51
1676afb14fdbe998.jpg,train,1600,1023,224,224,106.66,116.37,91.41,52.17,49.65,48.91
12b260f5016c9c18.jpg,train,1600,1200,224,224,141.3,138.31,136.55,73.15,74.0,75.43
121cdcf6da8fa2dd.jpg,train,960,720,224,224,147.51,141.08,129.09,62.48,60.19,66.64
17e379e0332a2a99.jpg,train,1600,1200,224,224,93.78,48.89,26.38,59.22,60.02,58.54
107511b6c15a5af7.jpg,train,1066,1600,224,224,106.44,83.64,68.35,88.26,76.18,63.4
14118b1a026f0a60.jpg,train,1200,1600,224,224,164.62,160.57,156.18,48.21,50.85,58.82
14a8b9c79aa73d53.jpg,train,1600,1200,224,224,111.38,104.45,91.99,55.74,55.34,58.24
129c936718354bdd.jpg,train,1210,1599,224,224,205.6,154.94,123.98,26.35,58.17,56.49
14cf0e05515855c2.jpg,train,1600,1200,224,224,76.05,76.34,76.19,65.66,68.5,63.27
14455af5031bc3d3.jpg,train,1600,1066,224,224,134.81,119.26,110.75,36.26,52.64,59.19
18db1f2ad2a28eff.jpg,train,1600,1062,224,224,91.97,91.25,91.91,50.49,47.61,48.2
10e49fce92eff6c2.jpg,train,1600,1066,224,224,118.98,99.16,84.14,60.21,55.88,54.81
1078d49e11799401.jpg,train,682,1032,224,224,154.5,154.5,154.51,76.85,76.85,76.85
123aa037bda0f33c.jpg,train,1024,768,224,224,220.28,227.74,219.65,62.53,42.97,62.84
15a40de4f53705b3.jpg,train,1600,1097,224,224,180.16,184.12,159.73,79.95,76.23,82.25
1875e686e396d555.jpg,train,1600,1059,224,224,156.62,152.65,146.43,80.84,84.33,85.99
14dfe57822866ad6.jpg,train,1100,1500,224,224,135.52,120.52,97.11,43.1,36.28,24.05
117fc8a219ebfd90.jpg,train,666,350,224,224,216.51,218.48,209.57,46.29,36.8,59.08
1086ce429faac7b0.jpg,train,1417,945,224,224,217.13,217.38,217.98,25.0,24.98,23.2
1964dfd73e38cbf1.jpg,train,640,640,224,224,203.08,186.6,174.64,84.56,92.9,97.19
153cad591c5e8880.jpg,train,800,1067,224,224,88.1,96.44,104.41,53.59,57.05,59.44
182e2a79d33328ea.jpg,train,1600,1239,224,224,233.76,233.76,233.76,33.75,33.75,33.75
13e3ad9470add12f.jpg,train,1280,960,224,224,68.17,71.43,80.31,67.35,52.45,56.7
1903a42d76edcef6.jpg,train,671,828,224,224,216.87,226.42,217.41,38.92,39.7,40.9
145e5c030b61a8ae.jpg,train,1600,1059,224,224,97.72,80.43,89.5,81.66,67.5,70.5
10073e2d95c6afd6.jpg,train,1600,1200,224,224,78.07,98.42,62.98,53.28,39.2,54.39
133356a60a1dfe6e.jpg,train,1600,1066,224,224,68.03,60.35,52.39,89.4,93.92,96.75
1898a8b4ae113ab9.jpg,train,1600,1200,224,224,72.69,72.49,66.27,46.1,53.71,55.92
12713223f77d4400.jpg,train,896,1350,224,224,91.18,76.76,54.36,79.35,70.05,60.65
132207d594682416.jpg,train,1200,900,224,224,105.78,105.33,108.48,72.38,73.86,75.69
